district,year,total_residents,jutland_residents,local_residents,jutland_share_pct,local_share_pct,edu_total,edu_high,high_ed_share_pct
Amager Vest,1985,41034.0,5783.0,24062.0,14.093191012331237,58.63917726763172,28637.0,2386.0,8.33187833921151
Amager Vest,1986,40459.0,5649.0,23624.0,13.96228280481475,58.38997503645666,28659.0,2523.0,8.803517219721554
Amager Vest,1987,40428.0,5558.0,23553.0,13.747897496784407,58.25912733748887,28653.0,2686.0,9.374236554636513
Amager Vest,1988,39860.0,5363.0,23165.0,13.454591068740593,58.11590566984446,28532.0,2785.0,9.760970138791532
Amager Vest,1989,39788.0,5277.0,23055.0,13.262792801849804,57.94460641399417,28381.0,2928.0,10.316761213487897
Amager Vest,1990,39733.0,5256.0,22955.0,13.22829889512496,57.77313568066846,28152.0,3032.0,10.770105143506678
Amager Vest,1991,38187.0,5111.0,21885.0,13.384135962500327,57.31007934637442,27912.0,3116.0,11.16365720836916
Amager Vest,1992,38213.0,5109.0,21765.0,13.369795619291864,56.95705649909716,27927.0,3252.0,11.644644967236008
Amager Vest,1993,38481.0,5078.0,21984.0,13.196122761882487,57.12949247680674,27902.0,3410.0,12.221346140061645
Amager Vest,1994,38225.0,4995.0,21821.0,13.067364290385873,57.08567691301504,28012.0,3622.0,12.93017278309296
Amager Vest,1995,38347.0,4936.0,21958.0,12.871932615328449,57.2613242235377,28072.0,3826.0,13.629239099458536
Amager Vest,1996,38481.0,4869.0,22072.0,12.65299758322289,57.358176762558145,28135.0,4032.0,14.330904567264973
Amager Vest,1997,38571.0,4873.0,22089.0,12.633844079749034,57.26841409348993,28361.0,4325.0,15.249814886640104
Amager Vest,1998,38757.0,4953.0,22083.0,12.779626906107284,56.97809427974301,28248.0,4571.0,16.18167657887284
Amager Vest,1999,38587.0,4891.0,21957.0,12.675253323658227,56.902583771736595,28339.0,4942.0,17.438865168142843
Amager Vest,2000,38568.0,4947.0,21984.0,12.826695706285003,57.00062227753578,28335.0,5167.0,18.235397917769543
Amager Vest,2001,38479.0,5047.0,21729.0,13.116245224668,56.469762727721616,28360.0,5471.0,19.291255289139634
Amager Vest,2002,38370.0,5023.0,21557.0,13.090956476413865,56.18191295282773,28267.0,5720.0,20.2356104291223
Amager Vest,2003,38245.0,5094.0,21383.0,13.31938815531442,55.91057654595372,28399.0,6170.0,21.726117116799887
Amager Vest,2004,38300.0,5149.0,21203.0,13.443864229765014,55.360313315926895,28847.0,6728.0,23.32304919055708
Amager Vest,2005,38722.0,5202.0,21167.0,13.434223438871959,54.6640152884665,30073.0,7562.0,25.14547933362152
Amager Vest,2006,40177.0,5608.0,21501.0,13.958234810961496,53.51569305821739,31727.0,8613.0,27.147224761244367
Amager Vest,2007,42140.0,6161.0,22010.0,14.6203132415757,52.23065970574276,32830.0,8689.0,26.466646360036552
Amager Vest,2008,43547.0,6590.0,22367.0,15.133074609043103,51.362895262589845,33344.0,10198.0,30.584213051823415
Amager Vest,2009,44377.0,6734.0,22649.0,15.174527345246412,51.037699709308875,33905.0,10925.0,32.222386078749444
Amager Vest,2010,45311.0,6982.0,23018.0,15.409061817218777,50.80002648363532,34605.0,11654.0,33.67721427539373
Amager Vest,2011,46547.0,7257.0,23523.0,15.590693277762261,50.53601735879863,35354.0,12367.0,34.98048311365051
Amager Vest,2012,47785.0,7504.0,23967.0,15.703672700638275,50.15590666527153,36217.0,13084.0,36.12668084048927
