# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Educational attainment (15-69 years) by ancestry, age, sex, highest"
"education completed, district and time"
" ";" ";" ";" ";" ";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Danish origin"
" ";"Age total"
" ";" ";"Sex total"
" ";" ";" ";"Highest education completed total"
" ";" ";" ";" ";"Copenhagen total";324057;329548;334530;338213;341326;343925;346488;348980;351750;354554;356865;358192;358073;357933;359718
" ";" ";" ";" ";"District - Indre By";31325;32072;32355;32485;32811;33241;33347;33002;33165;32943;33046;32771;32610;32623;32934
" ";" ";" ";" ";"District - Østerbro";45306;45868;46415;46652;46859;47191;47605;47861;47461;47408;47556;47294;47421;47749;47934
" ";" ";" ";" ";"District - Nørrebro";43892;45114;45986;46916;47374;47600;47403;47423;47129;46762;46203;45842;45553;45595;45886
" ";" ";" ";" ";"District - Vesterbro/Kongens Enghave";35609;36334;36743;37323;37878;38295;39414;40744;41608;42828;43799;45119;45690;45753;46678
" ";" ";" ";" ";"District - Valby";28198;28496;28983;29579;29763;29969;30598;31274;32256;33110;34073;35010;35063;34596;34718
" ";" ";" ";" ";"District - Vanløse";23801;24156;24483;24705;24671;24865;24806;24598;24565;24426;24257;24038;23785;23741;23691
" ";" ";" ";" ";"District - Brønshøj-Husum";19760;19842;19932;19830;19623;19501;19412;19255;19242;19030;18791;18597;18422;18501;18305
" ";" ";" ";" ";"District - Bispebjerg";27519;27981;28370;28449;28747;28953;28932;28841;28726;28474;28064;27553;27630;27769;27878
" ";" ";" ";" ";"District - Amager Øst";32385;32715;33284;33809;34599;34751;34991;35261;35601;35879;36425;36466;36589;36479;36356
" ";" ";" ";" ";"District - Amager Vest";34605;35354;36217;36696;37169;37838;38377;39204;40636;42238;43141;44079;43839;43654;43916
" ";" ";" ";" ";"Local committee district - Indre By";24298;24933;25114;25270;25023;25123;25271;25026;25015;25011;25226;25078;24973;25103;25366
" ";" ";" ";" ";"Local committee district - Christianshavn";7027;7139;7241;7215;7788;8118;8076;7976;8150;7932;7820;7693;7637;7520;7568
" ";" ";" ";" ";"Local committee district - Østerbro";45306;45868;46415;46652;46859;47191;47605;47861;47461;47408;47556;47294;47421;47749;47934
" ";" ";" ";" ";"Local committee district - Nørrebro";43892;45114;45986;46916;47374;47600;47403;47423;47129;46762;46203;45842;45553;45595;45886
" ";" ";" ";" ";"Local committee district - Vesterbro";24136;24586;24916;25321;25526;25481;25576;25841;26082;26311;26703;27670;28808;28948;29041
" ";" ";" ";" ";"Local committee district - Kgs. Enghave";11473;11748;11827;12002;12352;12814;13838;14903;15526;16517;17096;17449;16882;16805;17637
" ";" ";" ";" ";"Local committee district - Valby";28198;28496;28983;29579;29763;29969;30598;31274;32256;33110;34073;35010;35063;34596;34718
" ";" ";" ";" ";"Local committee district - Vanløse";23801;24156;24483;24705;24671;24865;24806;24598;24565;24426;24257;24038;23785;23741;23691
" ";" ";" ";" ";"Local committee district - Brønshøj-Husum";19760;19842;19932;19830;19623;19501;19412;19255;19242;19030;18791;18597;18422;18501;18305
" ";" ";" ";" ";"Local committee district - Bispebjerg";27519;27981;28370;28449;28747;28953;28932;28841;28726;28474;28064;27553;27630;27769;27878
" ";" ";" ";" ";"Local committee district - Amager Øst";32385;32715;33284;33809;34599;34751;34991;35261;35601;35879;36425;36466;36589;36479;36356
" ";" ";" ";" ";"Local committee district - Amager Vest";34605;35354;36217;36696;37169;37838;38377;39204;40636;42238;43141;44079;43839;43654;43916
" ";" ";" ";" ";"Indre By - Middelalderbyen";4407;4603;4725;4773;4698;4680;4805;4719;4767;4838;4945;5000;4997;5000;4985
" ";" ";" ";" ";"Indre By - Metropolzonen";1351;1408;1401;1396;1402;1435;1423;1406;1419;1414;1432;1412;1382;1401;1377
" ";" ";" ";" ";"Indre By - Nansensgade-kvarteret";4053;4149;4189;4241;4220;4211;4147;4089;4125;4135;4172;4172;4191;4216;4267
" ";" ";" ";" ";"Indre By - Øster Farimagsgade-kvarteret";4459;4511;4513;4569;4553;4571;4562;4509;4440;4428;4398;4354;4331;4370;4409
" ";" ";" ";" ";"Indre By - Østerport";2665;2703;2675;2660;2674;2682;2691;2630;2614;2597;2614;2604;2570;2540;2558
" ";" ";" ";" ";"Indre By - Frederiksstaden";5672;5807;5834;5851;5726;5803;5912;5909;5861;5808;5856;5780;5756;5827;5975
" ";" ";" ";" ";"Indre By - Gammelholm og Nyhavn";1691;1752;1777;1780;1750;1741;1731;1764;1789;1791;1809;1756;1746;1749;1795
" ";" ";" ";" ";"Christianshavn - Neden Vandet";1855;1898;1903;1856;1816;1789;1805;1751;1748;1680;1663;1630;1623;1595;1571
" ";" ";" ";" ";"Christianshavn - Oven Vandet";4399;4435;4490;4520;4505;4494;4419;4373;4375;4288;4191;4124;4137;4079;4073
" ";" ";" ";" ";"Christianshavn - Holmen og Refshaleøen";773;806;848;839;1467;1835;1852;1852;2027;1964;1966;1939;1877;1846;1924
" ";" ";" ";" ";"Østerbro - Nord/Komponistkvarteret";2272;2362;2397;2372;2403;2378;2350;2377;2387;2343;2321;2266;2238;2266;2296
" ";" ";" ";" ";"Østerbro - Svanemøllen Syd/Øst";6237;6351;6429;6422;6464;6503;6395;6391;6389;6238;6168;6107;6079;6165;6137
" ";" ";" ";" ";"Østerbro - Århusgade Nord";6147;6149;6212;6340;6352;6362;6384;6370;6320;6351;6308;6214;6264;6275;6273
" ";" ";" ";" ";"Østerbro - Århusgade Syd";7537;7679;7759;7839;7931;7915;7883;7915;7758;7800;7795;7785;7749;7757;7817
